mice_name,session_date,day_init,experiment_type,session_path,day_index,Baseline_im,Baseline_im_voltage_file,Baseline_mat_file,BMI_im,BMI_im_voltage_file,BMI_mat_file,BMI_target_mat_file,Bot_candidates,Bot_ensemble,Flag_Baseline_im,Flag_BaselineOnline,Flag_BMI,Flag_BMI_im,Flag_BMITarget,Flag_Holostim_seq_im,Flag_Holostim_seq_mat_file,Flag_MainProt_mat_file,Flag_Pretrain_im,Flag_session_more_tif_Baseline_im,Flag_session_more_tif_BMI_im,Flag_session_more_tif_Holostim_seq_im,Flag_session_more_tif_pretrain,Flag_target_calibration,GPL_candidates,GPL_ensemble,HoloMask_gpl_file,Holostim_seq_im,Holostim_seq_im_voltage_file,Holostim_seq_mat_file,MainProt_mat_file,Pretrain_im,Pretrain_im_voltage_file,Pretrain_mat_file,Roi_mat_file,StrcMask_mat_file,Target_calibration_mat_file,Workspace_mat_file,XML_candidates,XML_ensemble,XML_holostim_seq
NVI12,190930,D5,hE2_rew,190930/NVI12/D5,0,baseline/baseline_190930T132925-002,baseline_190930T132925-002_Cycle00001_VoltageRecording_001.csv,BaselineOnline190930T132923.mat,BMI/BMI_190930T144211-006,BMI_190930T144211-006_Cycle00001_VoltageRecording_001.csv,BMI_online190930T152419.mat,BMI_target_info_20190930T134821.mat,BOT_candidates.cfg,BOT_ens.cfg,,,,,,,,,,,,,,,GPL_candidates_holoMask.gpl,GPL_ens.gpl,holoMask.gpl,holostim_seq/holostim_seq_190930T132217-001,holostim_seq_190930T132217-001_Cycle00001_VoltageRecording_001.csv,holostim_seq190930T132349.mat,mainProt_single_channel.m,HoloVTA_pretrain/HoloVTA_pretrain_190930T135132-003,HoloVTA_pretrain_190930T135132-003_Cycle00001_VoltageRecording_001.csv,BMI_online190930T143340.mat,roi_data.mat,strcMask.mat,target_calibration_ALL_20190930T134821.mat,workspace.mat,XML_candidates.xml,XML_ens.xml,seq_single_stim.xml
NVI12,191001,D6,hE2_rew,191001/NVI12/D6,1,baseline/baseline_191001T132801-003,baseline_191001T132801-003_Cycle00001_VoltageRecording_001.csv,BaselineOnline191001T132759.mat,BMI/BMI_191001T144316-005,BMI_191001T144316-005_Cycle00001_VoltageRecording_001.csv,BMI_online191001T152524.mat,BMI_target_info_20191001T135333.mat,BOT_candidates.cfg,BOT_ens.cfg,,,,,,,,,,,,191001/NVI12/D6,,,GPL_candidates_holoMask.gpl,GPL_ens.gpl,holoMask.gpl,holostim_seq/holostim_seq_191001T131054-002,holostim_seq_191001T131054-002_Cycle00001_VoltageRecording_001.csv,holostim_seq191001T131249.mat,mainProt_single_channel.m,HoloVTA_pretrain/HoloVTA_pretrain_191001T135739-004,HoloVTA_pretrain_191001T135739-004_Cycle00001_VoltageRecording_001.csv,BMI_online191001T143947.mat,roi_data.mat,strcMask.mat,target_calibration_ALL_20191001T135333.mat,workspace.mat,XML_candidates.xml,XML_ens.xml,seq_single_stim.xml
NVI12,191003,D8,hE2_rew,191003/NVI12/D8,2,baseline/baseline_191003T132816-003,baseline_191003T132816-003_Cycle00001_VoltageRecording_001.csv,BaselineOnline191003T132813.mat,BMI/BMI_191003T144806-012,BMI_191003T144806-012_Cycle00001_VoltageRecording_001.csv,BMI_online191003T153014.mat,BMI_target_info_20191003T135930.mat,BOT_candidates.cfg,BOT_ens.cfg,,,,,,,,,,,,191003/NVI12/D8,191003/NVI12/D8,,GPL_candidates_holoMask.gpl,GPL_ens.gpl,holoMask.gpl,holostim_seq/holostim_seq_191003T132058-002,holostim_seq_191003T132058-002_Cycle00001_VoltageRecording_001.csv,holostim_seq191003T132244.mat,mainProt_single_channel.m,HoloVTA_pretrain/HoloVTA_pretrain_191003T140417-011,HoloVTA_pretrain_191003T140417-011_Cycle00001_VoltageRecording_001.csv,BMI_online191003T144655.mat,roi_data.mat,strcMask.mat,target_calibration_ALL_20191003T135930.mat,workspace.mat,XML_candidates.xml,XML_ens.xml,seq_single_stim.xml
NVI12,191005,D10,hE2_rew,191005/NVI12/D10,3,baseline/baseline_191005T133751-002,baseline_191005T133751-002_Cycle00001_VoltageRecording_001.csv,BaselineOnline191005T133748.mat,BMI/BMI_191005T151131-006,BMI_191005T151131-006_Cycle00001_VoltageRecording_001.csv,BMI_online191005T155340.mat,BMI_target_info_20191005T140501.mat,BOT_candidates.cfg,BOT_ens.cfg,,,,,,,,,,,,191005/NVI12/D10,191005/NVI12/D10,,GPL_candidates_holoMask.gpl,GPL_ens.gpl,holoMask.gpl,holostim_seq/holostim_seq_191005T131637-001,holostim_seq_191005T131637-001_Cycle00001_VoltageRecording_001.csv,holostim_seq191005T132012.mat,mainProt_single_channel.m,HoloVTA_pretrain/HoloVTA_pretrain_191005T140650-003,HoloVTA_pretrain_191005T140650-003_Cycle00001_VoltageRecording_001.csv,BMI_online191005T145353.mat,roi_data.mat,strcMask.mat,target_calibration_ALL_20191005T140501.mat,workspace.mat,XML_candidates.xml,XML_ens.xml,seq_single_stim.xml
NVI12,191007,D12,hE2_rew,191007/NVI12/D12,4,baseline/baseline_191007T133542-002,baseline_191007T133542-002_Cycle00001_VoltageRecording_001.csv,BaselineOnline191007T133539.mat,,BMI_191007T145714-004_Cycle00001_VoltageRecording_001.csv,,BMI_target_info_20191007T135419.mat,BOT_candidates.cfg,BOT_ens.cfg,,,191007/NVI12/D12,191007/NVI12/D12,,,,,,,,191007/NVI12/D12,191007/NVI12/D12,,GPL_candidates_holoMask.gpl,GPL_ens.gpl,holoMask.gpl,holostim_seq/holostim_seq_191007T131708-001,holostim_seq_191007T131708-001_Cycle00001_VoltageRecording_001.csv,holostim_seq191007T131924.mat,mainProt_single_channel.m,HoloVTA_pretrain/HoloVTA_pretrain_191007T135729-003,HoloVTA_pretrain_191007T135729-003_Cycle00001_VoltageRecording_001.csv,,roi_data.mat,strcMask.mat,target_calibration_ALL_20191007T135419.mat,workspace.mat,XML_candidates.xml,XML_ens.xml,seq_single_stim.xml
NVI12,191009,D14,hE2_rew,191009/NVI12/D14,5,baseline/baseline_191009T134546-002,baseline_191009T134546-002_Cycle00001_VoltageRecording_001.csv,BaselineOnline191009T134543.mat,BMI/BMI_191009T145015-004,BMI_191009T145015-004_Cycle00001_VoltageRecording_001.csv,BMI_online191009T153223.mat,BMI_target_info_20191009T140400.mat,BOT_candidates.cfg,BOT_ens.cfg,,,,,,,,,,,,191009/NVI12/D14,191009/NVI12/D14,,GPL_candidates_holoMask.gpl,GPL_ens.gpl,holoMask.gpl,holostim_seq/holostim_seq_191009T133507-001,holostim_seq_191009T133507-001_Cycle00001_VoltageRecording_001.csv,holostim_seq191009T133726.mat,mainProt_single_channel.m,HoloVTA_pretrain/HoloVTA_pretrain_191009T140601-003,HoloVTA_pretrain_191009T140601-003_Cycle00001_VoltageRecording_001.csv,BMI_online191009T144910.mat,roi_data.mat,strcMask.mat,target_calibration_ALL_20191009T140400.mat,workspace.mat,XML_candidates.xml,XML_ens.xml,seq_single_stim.xml
NVI12,191011,D16,hE2_rew,191011/NVI12/D16,6,baseline/baseline_191011T130449-003,baseline_191011T130449-003_Cycle00001_VoltageRecording_001.csv,BaselineOnline191011T130447.mat,BMI/BMI_191011T143032-005,BMI_191011T143032-005_Cycle00001_VoltageRecording_001.csv,BMI_online191011T151240.mat,BMI_target_info_20191011T132219.mat,BOT_candidates.cfg,BOT_ens.cfg,,,,,,,,,,,,191011/NVI12/D16,191011/NVI12/D16,,GPL_candidates_holoMask.gpl,GPL_ens.gpl,holoMask.gpl,holostim_seq/holostim_seq_191011T125350-002,holostim_seq_191011T125350-002_Cycle00001_VoltageRecording_001.csv,holostim_seq191011T125653.mat,mainProt_single_channel.m,HoloVTA_pretrain/HoloVTA_pretrain_191011T132641-004,HoloVTA_pretrain_191011T132641-004_Cycle00001_VoltageRecording_001.csv,BMI_online191011T142733.mat,roi_data.mat,strcMask.mat,target_calibration_ALL_20191011T132219.mat,workspace.mat,XML_candidates.xml,XML_ens.xml,seq_single_stim.xml
NVI12,191013,D18,hE2_rew,191013/NVI12/D18,7,baseline/baseline_191013T124755-002,baseline_191013T124755-002_Cycle00001_VoltageRecording_001.csv,BaselineOnline191013T124753.mat,BMI/BMI_191013T142502-005,BMI_191013T142502-005_Cycle00001_VoltageRecording_001.csv,BMI_online191013T150710.mat,BMI_target_info_20191013T131949.mat,BOT_candidates.cfg,BOT_ens.cfg,,,,,,,,,,,,191013/NVI12/D18,191013/NVI12/D18,,GPL_candidates_holoMask.gpl,GPL_ens.gpl,holoMask.gpl,holostim_seq/holostim_seq_191013T123719-001,holostim_seq_191013T123719-001_Cycle00001_VoltageRecording_001.csv,holostim_seq191013T124009.mat,mainProt_single_channel.m,HoloVTA_pretrain/HoloVTA_pretrain_191013T132319-003,HoloVTA_pretrain_191013T132319-003_Cycle00001_VoltageRecording_001.csv,BMI_online191013T140717.mat,roi_data.mat,strcMask.mat,target_calibration_ALL_20191013T131949.mat,workspace.mat,XML_candidates.xml,XML_ens.xml,seq_single_stim.xml
NVI12,191031,D31,hE2_rew,191031/NVI12/D31,8,baseline/baseline_191031T125801-041,baseline_191031T125801-041_Cycle00001_VoltageRecording_001.csv,BaselineOnline191031T125758.mat,BMI/BMI_191031T141348-045,BMI_191031T141348-045_Cycle00001_VoltageRecording_001.csv,BMI_online191031T145556.mat,BMI_target_info_20191031T131647.mat,BOT_candidates.cfg,BOT_ens.cfg,,,,,,,,,,,,191031/NVI12/D31,191031/NVI12/D31,,GPL_candidates_holoMask.gpl,GPL_ens.gpl,holoMask.gpl,holostim_seq/holostim_seq_191031T125159-040,holostim_seq_191031T125159-040_Cycle00001_VoltageRecording_001.csv,holostim_seq191031T125335.mat,mainProt_single_channel_fb.m,HoloVTA_pretrain/HoloVTA_pretrain_191031T132400-044,HoloVTA_pretrain_191031T132400-044_Cycle00001_VoltageRecording_001.csv,BMI_online191031T141139.mat,roi_data.mat,strcMask.mat,target_calibration_ALL_20191031T131647.mat,workspace.mat,XML_candidates.xml,XML_ens.xml,seq_single_stim.xml
NVI12,191102,D33,hE2_rew,191102/NVI12/D33,9,baseline/baseline_191102T125501-073,baseline_191102T125501-073_Cycle00001_VoltageRecording_001.csv,BaselineOnline191102T125458.mat,BMI/BMI_191102T141326-075,BMI_191102T141326-075_Cycle00001_VoltageRecording_001.csv,BMI_online191102T145533.mat,BMI_target_info_20191102T132221.mat,BOT_candidates.cfg,BOT_ens.cfg,,,,,,,,,,,,,191102/NVI12/D33,,GPL_candidates_holoMask.gpl,GPL_ens.gpl,holoMask.gpl,holostim_seq/holostim_seq_191102T124650-072,holostim_seq_191102T124650-072_Cycle00001_VoltageRecording_001.csv,holostim_seq191102T124816.mat,mainProt_single_channel_fb.m,HoloVTA_pretrain/HoloVTA_pretrain_191102T132426-074,HoloVTA_pretrain_191102T132426-074_Cycle00001_VoltageRecording_001.csv,BMI_online191102T141149.mat,roi_data.mat,strcMask.mat,target_calibration_ALL_20191102T132221.mat,workspace.mat,XML_candidates.xml,XML_ens.xml,seq_single_stim.xml
