Variable,Peaks,Min_Diff,Sugg_Input,Voltage_File,Experiment,Limit_Size,Prev_Min_Diff
frames,27000,0.0,1,baseline,190930/NVI12/D5,False,
reward,0,0.0,5,baseline,190930/NVI12/D5,False,
bmi,25370,-1.0,7,baseline,190930/NVI12/D5,False,
holo,0,0.0,6,baseline,190930/NVI12/D5,False,
frames,75600,0.0,1,BMI,190930/NVI12/D5,False,
reward,18,0.0,5,BMI,190930/NVI12/D5,False,
bmi,74073,0.0,7,BMI,190930/NVI12/D5,False,
holo,0,0.0,6,BMI,190930/NVI12/D5,False,
frames,75600,0.0,1,HoloVTA_pretrain,190930/NVI12/D5,False,
reward,82,0.0,5,HoloVTA_pretrain,190930/NVI12/D5,False,
bmi,74148,-1.0,7,HoloVTA_pretrain,190930/NVI12/D5,False,
holo,113,1.0,6,HoloVTA_pretrain,190930/NVI12/D5,False,
frames,2600,0.0,1,holostim_seq,190930/NVI12/D5,False,
reward,0,0.0,5,holostim_seq,190930/NVI12/D5,False,
bmi,2599,-1.0,7,holostim_seq,190930/NVI12/D5,False,
holo,38,0.0,6,holostim_seq,190930/NVI12/D5,False,
frames,27000,0.0,1,baseline,190930/NVI13/D5,False,
reward,0,0.0,5,baseline,190930/NVI13/D5,False,
bmi,25792,-38.0,7,baseline,190930/NVI13/D5,False,
holo,0,0.0,6,baseline,190930/NVI13/D5,False,
frames,75600,0.0,1,BMI,190930/NVI13/D5,False,
reward,69,0.0,5,BMI,190930/NVI13/D5,False,
bmi,74183,0.0,7,BMI,190930/NVI13/D5,False,
holo,0,0.0,6,BMI,190930/NVI13/D5,False,
frames,75600,0.0,1,HoloVTA_pretrain,190930/NVI13/D5,False,
reward,103,0.0,5,HoloVTA_pretrain,190930/NVI13/D5,False,
bmi,73044,1.0,7,HoloVTA_pretrain,190930/NVI13/D5,False,
holo,112,1.0,6,HoloVTA_pretrain,190930/NVI13/D5,False,
frames,2900,0.0,1,holostim_seq,190930/NVI13/D5,False,
reward,0,0.0,5,holostim_seq,190930/NVI13/D5,False,
bmi,2899,-1.0,7,holostim_seq,190930/NVI13/D5,False,
holo,44,0.0,6,holostim_seq,190930/NVI13/D5,False,
frames,27000,0.0,1,baseline,190930/NVI16/D5,False,
reward,0,0.0,5,baseline,190930/NVI16/D5,False,
bmi,26441,-2.0,7,baseline,190930/NVI16/D5,False,
holo,0,0.0,6,baseline,190930/NVI16/D5,False,
frames,75600,0.0,1,BMI,190930/NVI16/D5,False,
reward,19,0.0,5,BMI,190930/NVI16/D5,False,
bmi,72704,-1.0,7,BMI,190930/NVI16/D5,False,
holo,0,0.0,6,BMI,190930/NVI16/D5,False,
frames,75600,0.0,1,HoloVTA_pretrain,190930/NVI16/D5,False,
reward,77,0.0,5,HoloVTA_pretrain,190930/NVI16/D5,False,
bmi,73310,-1.0,7,HoloVTA_pretrain,190930/NVI16/D5,False,
holo,102,1.0,6,HoloVTA_pretrain,190930/NVI16/D5,False,
frames,2400,0.0,1,holostim_seq,190930/NVI16/D5,False,
reward,0,0.0,5,holostim_seq,190930/NVI16/D5,False,
bmi,2400,-1.0,7,holostim_seq,190930/NVI16/D5,False,
holo,35,0.0,6,holostim_seq,190930/NVI16/D5,False,
frames,27000,0.0,1,baseline,191001/NVI12/D6,False,
reward,0,0.0,5,baseline,191001/NVI12/D6,False,
bmi,26211,0.0,7,baseline,191001/NVI12/D6,False,
holo,0,0.0,6,baseline,191001/NVI12/D6,False,
