Variable,Peaks,Min_Diff,Sugg_Input,Voltage_File,Experiment,Limit_Size
frames,27000,0,1,baseline,190930_NVI12_D5,False
reward,0,0,5,baseline,190930_NVI12_D5,False
bmi,25370,-1,7,baseline,190930_NVI12_D5,False
holo,0,0,6,baseline,190930_NVI12_D5,False
frames,75600,0,1,BMI,190930_NVI12_D5,False
reward,18,0,5,BMI,190930_NVI12_D5,False
bmi,74073,-2,7,BMI,190930_NVI12_D5,False
holo,0,0,6,BMI,190930_NVI12_D5,False
frames,75600,0,1,HoloVTA_pretrain,190930_NVI12_D5,False
reward,82,0,5,HoloVTA_pretrain,190930_NVI12_D5,False
bmi,74148,-3,7,HoloVTA_pretrain,190930_NVI12_D5,False
holo,113,-7,6,HoloVTA_pretrain,190930_NVI12_D5,False
frames,2600,0,1,holostim_seq,190930_NVI12_D5,False
reward,0,0,5,holostim_seq,190930_NVI12_D5,False
bmi,2600,0,1,holostim_seq,190930_NVI12_D5,False
holo,38,0,6,holostim_seq,190930_NVI12_D5,False
frames,27000,0,1,baseline,190930_NVI13_D5,True
reward,0,0,5,baseline,190930_NVI13_D5,True
bmi,25792,-38,7,baseline,190930_NVI13_D5,True
holo,0,0,6,baseline,190930_NVI13_D5,True
frames,75600,0,1,BMI,190930_NVI13_D5,False
reward,69,0,5,BMI,190930_NVI13_D5,False
bmi,74183,-2,7,BMI,190930_NVI13_D5,False
holo,0,0,6,BMI,190930_NVI13_D5,False
frames,75600,0,1,HoloVTA_pretrain,190930_NVI13_D5,False
reward,103,0,5,HoloVTA_pretrain,190930_NVI13_D5,False
bmi,73044,-1,7,HoloVTA_pretrain,190930_NVI13_D5,False
holo,112,-8,6,HoloVTA_pretrain,190930_NVI13_D5,False
frames,2900,0,1,holostim_seq,190930_NVI13_D5,False
reward,0,0,5,holostim_seq,190930_NVI13_D5,False
bmi,2900,0,1,holostim_seq,190930_NVI13_D5,False
holo,44,0,6,holostim_seq,190930_NVI13_D5,False
frames,27000,0,1,baseline,190930_NVI16_D5,False
reward,0,0,5,baseline,190930_NVI16_D5,False
bmi,26441,-2,7,baseline,190930_NVI16_D5,False
holo,0,0,6,baseline,190930_NVI16_D5,False
frames,75600,0,1,BMI,190930_NVI16_D5,False
reward,19,0,5,BMI,190930_NVI16_D5,False
bmi,72704,-3,7,BMI,190930_NVI16_D5,False
holo,0,0,6,BMI,190930_NVI16_D5,False
frames,75600,0,1,HoloVTA_pretrain,190930_NVI16_D5,False
reward,77,0,5,HoloVTA_pretrain,190930_NVI16_D5,False
bmi,73310,-3,7,HoloVTA_pretrain,190930_NVI16_D5,False
holo,102,-18,6,HoloVTA_pretrain,190930_NVI16_D5,False
frames,2400,0,1,holostim_seq,190930_NVI16_D5,False
reward,0,0,5,holostim_seq,190930_NVI16_D5,False
bmi,2400,-1,1,holostim_seq,190930_NVI16_D5,False
holo,35,0,6,holostim_seq,190930_NVI16_D5,False
frames,27000,0,1,baseline,191001_NVI12_D6,False
reward,0,0,5,baseline,191001_NVI12_D6,False
bmi,26211,0,7,baseline,191001_NVI12_D6,False
holo,0,0,6,baseline,191001_NVI12_D6,False
frames,75600,0,1,BMI,191001_NVI12_D6,False
reward,35,0,5,BMI,191001_NVI12_D6,False
bmi,73326,-2,7,BMI,191001_NVI12_D6,False
holo,0,0,6,BMI,191001_NVI12_D6,False
frames,75600,0,1,HoloVTA_pretrain,191001_NVI12_D6,True
reward,96,0,5,HoloVTA_pretrain,191001_NVI12_D6,True
bmi,73259,-68,7,HoloVTA_pretrain,191001_NVI12_D6,True
holo,106,-14,6,HoloVTA_pretrain,191001_NVI12_D6,True
frames,3300,0,1,holostim_seq,191001_NVI12_D6,False
reward,0,0,5,holostim_seq,191001_NVI12_D6,False
bmi,3300,1,1,holostim_seq,191001_NVI12_D6,False
holo,50,0,6,holostim_seq,191001_NVI12_D6,False
frames,27000,0,1,baseline,191001_NVI13_D6,False
reward,0,0,5,baseline,191001_NVI13_D6,False
bmi,26229,-1,7,baseline,191001_NVI13_D6,False
holo,0,0,6,baseline,191001_NVI13_D6,False
frames,75600,0,1,BMI,191001_NVI13_D6,True
reward,19,-1,5,BMI,191001_NVI13_D6,True
bmi,75600,2314,1,BMI,191001_NVI13_D6,True
holo,0,0,6,BMI,191001_NVI13_D6,True
frames,75600,0,1,HoloVTA_pretrain,191001_NVI13_D6,False
reward,109,0,5,HoloVTA_pretrain,191001_NVI13_D6,False
bmi,73425,-3,7,HoloVTA_pretrain,191001_NVI13_D6,False
holo,111,-9,6,HoloVTA_pretrain,191001_NVI13_D6,False
frames,3000,0,1,holostim_seq,191001_NVI13_D6,False
reward,0,0,5,holostim_seq,191001_NVI13_D6,False
bmi,3000,0,1,holostim_seq,191001_NVI13_D6,False
holo,44,0,6,holostim_seq,191001_NVI13_D6,False
frames,27000,0,1,baseline,191003_NVI12_D8,True
reward,0,0,5,baseline,191003_NVI12_D8,True
bmi,25806,-12,7,baseline,191003_NVI12_D8,True
holo,0,0,6,baseline,191003_NVI12_D8,True
frames,75600,0,1,BMI,191003_NVI12_D8,True
reward,9,0,5,BMI,191003_NVI12_D8,True
bmi,75600,1895,1,BMI,191003_NVI12_D8,True
holo,0,0,6,BMI,191003_NVI12_D8,True
frames,76528,0,1,HoloVTA_pretrain,191003_NVI12_D8,False
reward,105,0,5,HoloVTA_pretrain,191003_NVI12_D8,False
bmi,74541,-3,7,HoloVTA_pretrain,191003_NVI12_D8,False
holo,110,-115,6,HoloVTA_pretrain,191003_NVI12_D8,False
frames,3000,0,1,holostim_seq,191003_NVI12_D8,False
reward,0,0,5,holostim_seq,191003_NVI12_D8,False
bmi,3000,-1,1,holostim_seq,191003_NVI12_D8,False
holo,45,0,6,holostim_seq,191003_NVI12_D8,False
frames,27000,0,1,baseline,191005_NVI12_D10,False
reward,0,0,5,baseline,191005_NVI12_D10,False
bmi,22631,-1,7,baseline,191005_NVI12_D10,False
holo,0,0,6,baseline,191005_NVI12_D10,False
frames,75600,0,1,BMI,191005_NVI12_D10,False
reward,29,0,5,BMI,191005_NVI12_D10,False
bmi,63593,-2,7,BMI,191005_NVI12_D10,False
holo,0,0,6,BMI,191005_NVI12_D10,False
frames,84461,0,1,HoloVTA_pretrain,191005_NVI12_D10,False
reward,101,0,5,HoloVTA_pretrain,191005_NVI12_D10,False
bmi,71017,-2,7,HoloVTA_pretrain,191005_NVI12_D10,False
holo,107,-118,6,HoloVTA_pretrain,191005_NVI12_D10,False
frames,6200,0,1,holostim_seq,191005_NVI12_D10,False
reward,0,0,5,holostim_seq,191005_NVI12_D10,False
bmi,6200,0,1,holostim_seq,191005_NVI12_D10,False
holo,95,0,6,holostim_seq,191005_NVI12_D10,False
frames,27000,0,1,baseline,191005_NVI13_D10,False
reward,0,0,5,baseline,191005_NVI13_D10,False
bmi,22606,-2,7,baseline,191005_NVI13_D10,False
holo,0,0,6,baseline,191005_NVI13_D10,False
frames,75600,0,1,BMI,191005_NVI13_D10,True
reward,25,0,5,BMI,191005_NVI13_D10,True
bmi,63116,-414,7,BMI,191005_NVI13_D10,True
holo,0,0,6,BMI,191005_NVI13_D10,True
